영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
여자동창 : 우리 남편 출장가서 집에 없어,,2025,일본,장편,멜로/로맨스,개봉,,
맛 : 자꾸 생각나는 그놈,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
슬라이드 스트럼 뮤트,Slide Strum Mute,2026,한국,장편,"드라마,미스터리",개봉,박세영,
펫 트레인,Pets on a Train,2025,프랑스,장편,애니메이션,개봉,,
정사 : 잠든 남편 옆에서 무삭제,,2024,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
유부녀들 : 남편 몰래 바람피다,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
"맛있는 불륜 : 사위와 장모, 며느리와 시아버지",,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
명탐정 코난: 세기말의 마술사,Detective Conan the Movie: The Last Wizard of the Century,1999,일본,장편,애니메이션,개봉,코다마 켄지,
뮤지컬 장수탕 선녀님,,2026,한국,장편,"뮤지컬,공연",개봉,조윤수,(주)영화사 그램
파이 굽는 엄마,,2025,한국,장편,다큐멘터리,개봉,이종은,제이리미디어
프로젝트 헤일메리,PROJECT HAIL MARY,2026,미국,장편,SF,개봉,필 로드,
왜(歪): 더 카르텔,,2025,한국,장편,다큐멘터리,개봉,,
메소드연기,METHOD ACTING,2024,한국,장편,"드라마,코미디",개봉,이기혁,(주)런업컴퍼니
프로텍터,Protector,2025,한국,장편,액션,개봉,애드리언 그런버그,(주)아낙시온
연지구 디 오리지널 4K,Rouge,1987,홍콩,장편,"판타지,멜로/로맨스",개봉,관금붕,
"사랑, 우유, 그리고 치즈",HOLY COW,2024,프랑스,장편,"코미디,드라마",개봉,,
김~치!,KIM~CHI!,2025,한국,장편,"가족,드라마",개봉,박철현,(주)샾엔터
매드 댄스 오피스,Mad Dance Office,2024,한국,장편,"드라마,코미디",개봉,조현진,(주)컨텐츠 크리에이티브 그룹 문
렌탈 패밀리: 가족을 빌려드립니다,Rental Family,2025,미국,장편,"드라마,코미디",개봉,,
매력적인 가정부,,2025,일본,장편,멜로/로맨스,개봉,,
라면 먹고 갈래? 커플섹스,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
그 사람 경허(鏡虛) 선사,,2024,한국,장편,드라마,개봉,윤용진,(주)가상사
유부녀 : 비에 젖어 비치는 그녀의 속살,,2025,일본,장편,멜로/로맨스,개봉,,
부장님이 빨아버린 가랑이 무삭제판,,2024,일본,장편,멜로/로맨스,개봉,,
더치스: 복수의 화신,Duchess,2024,영국,장편,"액션,범죄",개봉,닐 마샬,
하이재킹: 메이데이,Hijacked,2025,베트남,장편,"액션,스릴러,범죄",개봉,함 트란,
드림스,Dreams,2025,미국,장편,"드라마,멜로/로맨스",개봉,미셸 프랑코,
